previous_crop,next_crop,N_removed_kg_per_ha,P_removed_kg_per_ha,K_removed_kg_per_ha,expected_yield_t_ha,price_usd_ton,revenue_usd,fertilizer_cost_usd,profit_usd
Tomato,Chickpea,200,75,300,1.75,550,962.11,287.5,674.61
Maize,Tomato,85,25,100,25.64,400,10254.46,105.0,10149.46
Maize,Potato,85,25,100,21.22,200,4243.74,105.0,4138.74
Potato,Wheat,150,60,200,3.88,335,1299.2,205.0,1094.2
Chickpea,Maize,60,14,60,6.78,216,1463.72,67.0,1396.72
Rice,Cotton,100,40,120,2.88,1800,5189.55,130.0,5059.55
Potato,Maize,150,60,200,4.74,216,1024.66,205.0,819.66
Soybean,Rice,50,20,60,3.54,350,1238.06,65.0,1173.06
Tomato,Potato,200,75,300,23.47,200,4693.33,287.5,4405.83
Rice,Chickpea,100,40,120,1.16,550,639.0,130.0,509.0
Chickpea,Cotton,60,14,60,2.81,1800,5061.1,67.0,4994.1
Tomato,Wheat,200,75,300,2.97,335,995.1,287.5,707.6
Rice,Maize,100,40,120,5.76,216,1244.93,130.0,1114.93
Chickpea,Wheat,60,14,60,3.23,335,1081.34,67.0,1014.34
Wheat,Tomato,80,30,90,24.77,400,9906.4,100.0,9806.4
Wheat,Chickpea,80,30,90,1.32,550,727.63,100.0,627.63
Wheat,Tomato,80,30,90,37.61,400,15044.82,100.0,14944.82
Potato,Tomato,150,60,200,30.97,400,12389.15,205.0,12184.15
Maize,Cotton,85,25,100,1.86,1800,3341.48,105.0,3236.48
Tomato,Chickpea,200,75,300,1.63,550,895.14,287.5,607.64
Rice,Chickpea,100,40,120,1.82,550,1001.22,130.0,871.22
Tomato,Potato,200,75,300,22.4,200,4480.87,287.5,4193.37
Cotton,Tomato,120,40,200,32.41,400,12965.87,180.0,12785.87
Soybean,Maize,50,20,60,6.28,216,1355.52,65.0,1290.52
Rice,Wheat,100,40,120,4.49,335,1502.86,130.0,1372.86
Cotton,Wheat,120,40,200,3.14,335,1050.82,180.0,870.82
Maize,Potato,85,25,100,23.01,200,4601.92,105.0,4496.92
Chickpea,Soybean,60,14,60,2.29,450,1032.2,67.0,965.2
Cotton,Chickpea,120,40,200,1.45,550,799.94,180.0,619.94
Maize,Soybean,85,25,100,3.87,450,1743.62,105.0,1638.62
Wheat,Cotton,80,30,90,2.49,1800,4473.46,100.0,4373.46
Maize,Soybean,85,25,100,3.17,450,1426.36,105.0,1321.36
Soybean,Tomato,50,20,60,21.98,400,8793.31,65.0,8728.31
Potato,Rice,150,60,200,5.79,350,2026.11,205.0,1821.11
Maize,Rice,85,25,100,5.8,350,2030.38,105.0,1925.38
Potato,Cotton,150,60,200,2.49,1800,4474.02,205.0,4269.02
Potato,Wheat,150,60,200,2.48,335,829.7,205.0,624.7
Tomato,Wheat,200,75,300,3.58,335,1199.91,287.5,912.41
Soybean,Chickpea,50,20,60,1.71,550,943.15,65.0,878.15
Soybean,Rice,50,20,60,5.74,350,2007.26,65.0,1942.26
Tomato,Soybean,200,75,300,1.97,450,884.47,287.5,596.97
Cotton,Chickpea,120,40,200,0.85,550,468.24,180.0,288.24
Rice,Maize,100,40,120,5.16,216,1114.15,130.0,984.15
Tomato,Soybean,200,75,300,2.67,450,1201.58,287.5,914.08
Tomato,Rice,200,75,300,4.05,350,1417.16,287.5,1129.66
Tomato,Soybean,200,75,300,3.17,450,1428.07,287.5,1140.57
Maize,Rice,85,25,100,4.7,350,1644.03,105.0,1539.03
Chickpea,Rice,60,14,60,4.59,350,1606.87,67.0,1539.87
Tomato,Wheat,200,75,300,3.49,335,1168.08,287.5,880.58
Cotton,Rice,120,40,200,4.56,350,1596.65,180.0,1416.65
Rice,Soybean,100,40,120,2.67,450,1201.82,130.0,1071.82
Chickpea,Potato,60,14,60,22.35,200,4470.32,67.0,4403.32
Chickpea,Rice,60,14,60,3.6,350,1259.05,67.0,1192.05
Cotton,Potato,120,40,200,18.02,200,3604.24,180.0,3424.24
Cotton,Potato,120,40,200,22.74,200,4547.47,180.0,4367.47
Chickpea,Cotton,60,14,60,2.87,1800,5171.85,67.0,5104.85
Cotton,Tomato,120,40,200,24.66,400,9863.15,180.0,9683.15
Chickpea,Potato,60,14,60,16.87,200,3373.95,67.0,3306.95
Maize,Tomato,85,25,100,31.45,400,12580.23,105.0,12475.23
Cotton,Potato,120,40,200,21.49,200,4298.12,180.0,4118.12
Maize,Chickpea,85,25,100,1.57,550,865.45,105.0,760.45
Maize,Rice,85,25,100,4.44,350,1553.07,105.0,1448.07
Chickpea,Potato,60,14,60,15.02,200,3004.4,67.0,2937.4
Wheat,Cotton,80,30,90,2.13,1800,3828.32,100.0,3728.32
Cotton,Potato,120,40,200,24.09,200,4818.27,180.0,4638.27
Chickpea,Cotton,60,14,60,2.65,1800,4775.92,67.0,4708.92
Wheat,Soybean,80,30,90,2.76,450,1240.45,100.0,1140.45
Tomato,Soybean,200,75,300,2.28,450,1027.74,287.5,740.24
Wheat,Potato,80,30,90,14.92,200,2983.97,100.0,2883.97
Wheat,Cotton,80,30,90,1.78,1800,3201.96,100.0,3101.96
Soybean,Rice,50,20,60,4.24,350,1482.93,65.0,1417.93
Soybean,Chickpea,50,20,60,1.12,550,618.61,65.0,553.61
Potato,Soybean,150,60,200,3.86,450,1738.41,205.0,1533.41
Tomato,Maize,200,75,300,4.42,216,954.94,287.5,667.44
Wheat,Tomato,80,30,90,20.49,400,8194.58,100.0,8094.58
Chickpea,Maize,60,14,60,6.84,216,1477.64,67.0,1410.64
Rice,Chickpea,100,40,120,2.05,550,1130.14,130.0,1000.14
Maize,Tomato,85,25,100,34.93,400,13971.23,105.0,13866.23
Potato,Maize,150,60,200,5.32,216,1150.0,205.0,945.0
Cotton,Chickpea,120,40,200,1.1,550,607.61,180.0,427.61
Potato,Tomato,150,60,200,33.07,400,13226.83,205.0,13021.83
Maize,Rice,85,25,100,4.7,350,1645.71,105.0,1540.71
Wheat,Cotton,80,30,90,2.01,1800,3613.25,100.0,3513.25
Soybean,Maize,50,20,60,5.89,216,1272.05,65.0,1207.05
Rice,Tomato,100,40,120,25.28,400,10112.29,130.0,9982.29
Rice,Cotton,100,40,120,2.08,1800,3748.96,130.0,3618.96
Maize,Soybean,85,25,100,2.34,450,1054.86,105.0,949.86
Maize,Tomato,85,25,100,30.07,400,12026.69,105.0,11921.69
Soybean,Cotton,50,20,60,2.19,1800,3941.97,65.0,3876.97
Maize,Potato,85,25,100,21.81,200,4361.93,105.0,4256.93
Maize,Chickpea,85,25,100,1.9,550,1046.6,105.0,941.6
Soybean,Potato,50,20,60,13.82,200,2764.62,65.0,2699.62
Wheat,Cotton,80,30,90,2.17,1800,3906.69,100.0,3806.69
Cotton,Tomato,120,40,200,27.76,400,11102.71,180.0,10922.71
Tomato,Potato,200,75,300,20.54,200,4107.64,287.5,3820.14
Tomato,Soybean,200,75,300,2.61,450,1175.4,287.5,887.9
Chickpea,Rice,60,14,60,3.84,350,1345.67,67.0,1278.67
Chickpea,Maize,60,14,60,5.04,216,1088.25,67.0,1021.25
Chickpea,Tomato,60,14,60,35.13,400,14052.08,67.0,13985.08
Wheat,Tomato,80,30,90,16.08,400,6433.13,100.0,6333.13
Cotton,Wheat,120,40,200,2.77,335,926.54,180.0,746.54
Chickpea,Cotton,60,14,60,2.4,1800,4322.59,67.0,4255.59
Rice,Maize,100,40,120,8.16,216,1763.1,130.0,1633.1
Soybean,Rice,50,20,60,5.19,350,1815.23,65.0,1750.23
Potato,Chickpea,150,60,200,1.36,550,749.39,205.0,544.39
Tomato,Chickpea,200,75,300,1.1,550,603.48,287.5,315.98
Tomato,Maize,200,75,300,7.47,216,1613.85,287.5,1326.35
Soybean,Rice,50,20,60,6.18,350,2163.14,65.0,2098.14
Rice,Soybean,100,40,120,3.21,450,1444.03,130.0,1314.03
Maize,Chickpea,85,25,100,2.0,550,1100.75,105.0,995.75
Tomato,Maize,200,75,300,5.89,216,1272.44,287.5,984.94
Soybean,Rice,50,20,60,4.22,350,1476.64,65.0,1411.64
Soybean,Cotton,50,20,60,2.27,1800,4091.29,65.0,4026.29
Tomato,Rice,200,75,300,6.1,350,2136.33,287.5,1848.83
Chickpea,Cotton,60,14,60,1.93,1800,3470.58,67.0,3403.58
Chickpea,Tomato,60,14,60,26.19,400,10476.55,67.0,10409.55
Tomato,Rice,200,75,300,4.26,350,1490.91,287.5,1203.41
Potato,Soybean,150,60,200,2.51,450,1129.03,205.0,924.03
Rice,Maize,100,40,120,5.43,216,1171.97,130.0,1041.97
Tomato,Cotton,200,75,300,1.36,1800,2441.43,287.5,2153.93
Wheat,Soybean,80,30,90,2.4,450,1079.72,100.0,979.72
Chickpea,Soybean,60,14,60,2.6,450,1171.36,67.0,1104.36
Cotton,Wheat,120,40,200,3.38,335,1133.58,180.0,953.58
Soybean,Cotton,50,20,60,1.74,1800,3126.33,65.0,3061.33
Cotton,Potato,120,40,200,17.57,200,3513.22,180.0,3333.22
Cotton,Potato,120,40,200,15.79,200,3157.33,180.0,2977.33
Soybean,Tomato,50,20,60,27.25,400,10901.64,65.0,10836.64
Rice,Tomato,100,40,120,30.94,400,12376.41,130.0,12246.41
Cotton,Chickpea,120,40,200,1.72,550,943.84,180.0,763.84
Soybean,Maize,50,20,60,4.68,216,1009.81,65.0,944.81
Soybean,Tomato,50,20,60,37.59,400,15037.93,65.0,14972.93
Tomato,Potato,200,75,300,23.72,200,4743.9,287.5,4456.4
Soybean,Chickpea,50,20,60,1.32,550,724.45,65.0,659.45
Maize,Cotton,85,25,100,2.7,1800,4867.47,105.0,4762.47
Chickpea,Cotton,60,14,60,2.37,1800,4270.85,67.0,4203.85
Tomato,Wheat,200,75,300,4.37,335,1464.34,287.5,1176.84
Wheat,Tomato,80,30,90,33.75,400,13499.72,100.0,13399.72
Wheat,Cotton,80,30,90,2.56,1800,4606.14,100.0,4506.14
Potato,Maize,150,60,200,5.43,216,1172.6,205.0,967.6
Potato,Wheat,150,60,200,4.2,335,1406.5,205.0,1201.5
Wheat,Chickpea,80,30,90,1.16,550,638.9,100.0,538.9
Maize,Wheat,85,25,100,4.42,335,1479.2,105.0,1374.2
Potato,Cotton,150,60,200,2.33,1800,4192.23,205.0,3987.23
Tomato,Soybean,200,75,300,3.09,450,1390.31,287.5,1102.81
Potato,Cotton,150,60,200,1.86,1800,3340.61,205.0,3135.61
Wheat,Soybean,80,30,90,2.61,450,1172.31,100.0,1072.31
Rice,Soybean,100,40,120,3.23,450,1453.63,130.0,1323.63
Wheat,Chickpea,80,30,90,1.3,550,716.49,100.0,616.49
Maize,Wheat,85,25,100,3.54,335,1187.31,105.0,1082.31
Wheat,Tomato,80,30,90,37.48,400,14993.0,100.0,14893.0
Soybean,Chickpea,50,20,60,1.79,550,986.17,65.0,921.17
Tomato,Potato,200,75,300,25.01,200,5001.19,287.5,4713.69
Rice,Tomato,100,40,120,39.96,400,15983.08,130.0,15853.08
Rice,Maize,100,40,120,4.99,216,1076.88,130.0,946.88
Chickpea,Potato,60,14,60,20.43,200,4086.15,67.0,4019.15
Chickpea,Tomato,60,14,60,27.47,400,10989.01,67.0,10922.01
Maize,Chickpea,85,25,100,1.19,550,653.78,105.0,548.78
Tomato,Cotton,200,75,300,2.38,1800,4279.12,287.5,3991.62
Cotton,Rice,120,40,200,3.86,350,1350.27,180.0,1170.27
Tomato,Rice,200,75,300,3.81,350,1334.4,287.5,1046.9
Tomato,Wheat,200,75,300,2.96,335,990.69,287.5,703.19
Tomato,Wheat,200,75,300,4.94,335,1655.54,287.5,1368.04
Tomato,Potato,200,75,300,11.12,200,2223.17,287.5,1935.67
Soybean,Cotton,50,20,60,1.57,1800,2826.15,65.0,2761.15
Wheat,Tomato,80,30,90,28.89,400,11557.02,100.0,11457.02
Wheat,Cotton,80,30,90,3.08,1800,5552.61,100.0,5452.61
Potato,Tomato,150,60,200,28.75,400,11499.54,205.0,11294.54
Cotton,Soybean,120,40,200,3.5,450,1573.62,180.0,1393.62
Rice,Tomato,100,40,120,22.44,400,8974.18,130.0,8844.18
Tomato,Rice,200,75,300,5.52,350,1931.63,287.5,1644.13
Wheat,Rice,80,30,90,5.73,350,2006.54,100.0,1906.54
Chickpea,Tomato,60,14,60,31.03,400,12413.07,67.0,12346.07
Maize,Soybean,85,25,100,2.89,450,1299.52,105.0,1194.52
Chickpea,Wheat,60,14,60,2.93,335,981.04,67.0,914.04
Wheat,Potato,80,30,90,25.24,200,5048.78,100.0,4948.78
Potato,Rice,150,60,200,5.08,350,1778.5,205.0,1573.5
Soybean,Rice,50,20,60,5.31,350,1860.17,65.0,1795.17
Potato,Maize,150,60,200,6.3,216,1359.92,205.0,1154.92
Tomato,Wheat,200,75,300,3.27,335,1094.75,287.5,807.25
Soybean,Potato,50,20,60,19.96,200,3992.25,65.0,3927.25
Tomato,Maize,200,75,300,6.03,216,1302.01,287.5,1014.51
Maize,Rice,85,25,100,5.14,350,1800.43,105.0,1695.43
Soybean,Wheat,50,20,60,3.58,335,1198.17,65.0,1133.17
Chickpea,Maize,60,14,60,5.36,216,1157.73,67.0,1090.73
Cotton,Chickpea,120,40,200,1.6,550,877.56,180.0,697.56
Cotton,Soybean,120,40,200,2.51,450,1129.42,180.0,949.42
Soybean,Rice,50,20,60,4.4,350,1540.65,65.0,1475.65
Chickpea,Tomato,60,14,60,31.55,400,12619.39,67.0,12552.39
Chickpea,Soybean,60,14,60,2.99,450,1347.32,67.0,1280.32
Cotton,Maize,120,40,200,5.83,216,1258.8,180.0,1078.8
Cotton,Chickpea,120,40,200,1.45,550,795.77,180.0,615.77
Soybean,Maize,50,20,60,3.76,216,812.96,65.0,747.96
Cotton,Soybean,120,40,200,2.37,450,1064.9,180.0,884.9
Cotton,Potato,120,40,200,17.75,200,3550.32,180.0,3370.32
Wheat,Tomato,80,30,90,30.35,400,12141.4,100.0,12041.4
Potato,Cotton,150,60,200,2.63,1800,4735.08,205.0,4530.08
Chickpea,Rice,60,14,60,5.12,350,1790.73,67.0,1723.73
Chickpea,Soybean,60,14,60,2.99,450,1343.97,67.0,1276.97
Chickpea,Potato,60,14,60,14.01,200,2801.03,67.0,2734.03
Potato,Chickpea,150,60,200,2.16,550,1186.97,205.0,981.97
Maize,Wheat,85,25,100,4.02,335,1347.43,105.0,1242.43
Rice,Wheat,100,40,120,4.59,335,1539.06,130.0,1409.06
Cotton,Wheat,120,40,200,3.82,335,1279.92,180.0,1099.92
Cotton,Soybean,120,40,200,1.94,450,872.84,180.0,692.84
Potato,Wheat,150,60,200,3.37,335,1129.53,205.0,924.53
Chickpea,Wheat,60,14,60,2.94,335,986.21,67.0,919.21
Soybean,Chickpea,50,20,60,1.31,550,717.99,65.0,652.99
Tomato,Rice,200,75,300,4.22,350,1478.13,287.5,1190.63
Potato,Tomato,150,60,200,38.77,400,15507.1,205.0,15302.1
Potato,Rice,150,60,200,3.25,350,1136.91,205.0,931.91
Maize,Rice,85,25,100,6.8,350,2378.94,105.0,2273.94
Potato,Tomato,150,60,200,25.44,400,10177.31,205.0,9972.31
Wheat,Maize,80,30,90,7.04,216,1519.67,100.0,1419.67
Cotton,Chickpea,120,40,200,1.7,550,935.38,180.0,755.38
Maize,Soybean,85,25,100,2.88,450,1294.58,105.0,1189.58
Chickpea,Wheat,60,14,60,3.08,335,1031.38,67.0,964.38
Potato,Chickpea,150,60,200,1.55,550,853.38,205.0,648.38
Cotton,Chickpea,120,40,200,1.01,550,557.56,180.0,377.56
Cotton,Tomato,120,40,200,31.11,400,12443.77,180.0,12263.77
Rice,Tomato,100,40,120,26.37,400,10547.85,130.0,10417.85
Cotton,Wheat,120,40,200,3.94,335,1320.45,180.0,1140.45
Chickpea,Maize,60,14,60,6.82,216,1472.97,67.0,1405.97
Soybean,Cotton,50,20,60,1.83,1800,3291.62,65.0,3226.62
Tomato,Rice,200,75,300,3.64,350,1272.43,287.5,984.93
Maize,Soybean,85,25,100,3.72,450,1672.11,105.0,1567.11
Cotton,Soybean,120,40,200,2.06,450,927.24,180.0,747.24
Chickpea,Tomato,60,14,60,27.12,400,10848.74,67.0,10781.74
Cotton,Maize,120,40,200,6.72,216,1451.73,180.0,1271.73
Cotton,Maize,120,40,200,7.69,216,1661.36,180.0,1481.36
Potato,Maize,150,60,200,5.69,216,1229.07,205.0,1024.07
Wheat,Tomato,80,30,90,30.92,400,12368.1,100.0,12268.1
Rice,Potato,100,40,120,21.28,200,4255.25,130.0,4125.25
Maize,Cotton,85,25,100,2.42,1800,4354.38,105.0,4249.38
Rice,Potato,100,40,120,23.98,200,4796.51,130.0,4666.51
Chickpea,Potato,60,14,60,14.75,200,2950.89,67.0,2883.89
Maize,Potato,85,25,100,28.01,200,5602.55,105.0,5497.55
Potato,Chickpea,150,60,200,1.31,550,722.59,205.0,517.59
Tomato,Wheat,200,75,300,3.47,335,1161.4,287.5,873.9
Soybean,Cotton,50,20,60,2.05,1800,3695.86,65.0,3630.86
Tomato,Maize,200,75,300,7.5,216,1619.99,287.5,1332.49
Maize,Chickpea,85,25,100,1.21,550,666.75,105.0,561.75
Cotton,Potato,120,40,200,24.63,200,4926.36,180.0,4746.36
Cotton,Potato,120,40,200,21.93,200,4385.76,180.0,4205.76
Rice,Maize,100,40,120,5.44,216,1175.89,130.0,1045.89
Tomato,Maize,200,75,300,5.91,216,1276.27,287.5,988.77
Cotton,Soybean,120,40,200,2.76,450,1241.26,180.0,1061.26
Maize,Chickpea,85,25,100,1.78,550,977.03,105.0,872.03
Rice,Cotton,100,40,120,2.95,1800,5307.49,130.0,5177.49
Maize,Rice,85,25,100,5.21,350,1825.14,105.0,1720.14
Wheat,Tomato,80,30,90,22.67,400,9069.22,100.0,8969.22
Rice,Wheat,100,40,120,2.89,335,969.07,130.0,839.07
Cotton,Potato,120,40,200,18.27,200,3653.24,180.0,3473.24
Cotton,Soybean,120,40,200,3.0,450,1349.77,180.0,1169.77
Chickpea,Potato,60,14,60,15.52,200,3103.73,67.0,3036.73
Maize,Potato,85,25,100,20.29,200,4058.27,105.0,3953.27
Wheat,Cotton,80,30,90,2.35,1800,4236.52,100.0,4136.52
Wheat,Chickpea,80,30,90,1.68,550,925.92,100.0,825.92
Rice,Soybean,100,40,120,2.07,450,929.6,130.0,799.6
Chickpea,Tomato,60,14,60,28.38,400,11350.4,67.0,11283.4
Wheat,Rice,80,30,90,4.49,350,1573.08,100.0,1473.08
Wheat,Rice,80,30,90,3.54,350,1237.29,100.0,1137.29
Rice,Potato,100,40,120,20.93,200,4186.32,130.0,4056.32
Cotton,Maize,120,40,200,6.79,216,1466.89,180.0,1286.89
Wheat,Potato,80,30,90,19.93,200,3985.48,100.0,3885.48
Soybean,Tomato,50,20,60,30.12,400,12048.2,65.0,11983.2
Cotton,Tomato,120,40,200,26.36,400,10545.26,180.0,10365.26
Soybean,Wheat,50,20,60,3.57,335,1196.74,65.0,1131.74
Tomato,Rice,200,75,300,5.29,350,1852.45,287.5,1564.95
Soybean,Maize,50,20,60,5.81,216,1254.5,65.0,1189.5
Wheat,Maize,80,30,90,3.33,216,719.51,100.0,619.51
Cotton,Rice,120,40,200,5.52,350,1933.1,180.0,1753.1
Soybean,Potato,50,20,60,30.12,200,6023.46,65.0,5958.46
Tomato,Rice,200,75,300,5.74,350,2009.75,287.5,1722.25
Cotton,Soybean,120,40,200,2.7,450,1216.8,180.0,1036.8
Cotton,Maize,120,40,200,4.66,216,1006.14,180.0,826.14
Soybean,Rice,50,20,60,3.39,350,1187.85,65.0,1122.85
Maize,Soybean,85,25,100,1.69,450,760.3,105.0,655.3
Rice,Maize,100,40,120,5.53,216,1193.83,130.0,1063.83
Maize,Soybean,85,25,100,3.3,450,1486.68,105.0,1381.68
Tomato,Wheat,200,75,300,3.93,335,1316.56,287.5,1029.06
Soybean,Chickpea,50,20,60,1.24,550,681.9,65.0,616.9
Cotton,Rice,120,40,200,3.74,350,1309.91,180.0,1129.91
Maize,Rice,85,25,100,3.06,350,1070.84,105.0,965.84
Tomato,Soybean,200,75,300,2.48,450,1117.05,287.5,829.55
Rice,Cotton,100,40,120,1.72,1800,3091.46,130.0,2961.46
Cotton,Maize,120,40,200,3.63,216,783.58,180.0,603.58
Maize,Rice,85,25,100,4.05,350,1418.63,105.0,1313.63
Maize,Rice,85,25,100,5.7,350,1993.69,105.0,1888.69
Potato,Rice,150,60,200,3.82,350,1337.34,205.0,1132.34
Maize,Chickpea,85,25,100,1.44,550,791.76,105.0,686.76
Chickpea,Rice,60,14,60,5.53,350,1934.09,67.0,1867.09
Soybean,Tomato,50,20,60,29.65,400,11861.01,65.0,11796.01
Cotton,Chickpea,120,40,200,1.58,550,867.54,180.0,687.54
Soybean,Wheat,50,20,60,3.24,335,1084.5,65.0,1019.5
Wheat,Potato,80,30,90,21.8,200,4359.74,100.0,4259.74
Cotton,Potato,120,40,200,20.99,200,4198.66,180.0,4018.66
Wheat,Cotton,80,30,90,1.91,1800,3446.97,100.0,3346.97
Wheat,Tomato,80,30,90,19.43,400,7772.17,100.0,7672.17
Chickpea,Soybean,60,14,60,2.96,450,1331.64,67.0,1264.64
Tomato,Wheat,200,75,300,1.99,335,667.62,287.5,380.12
Cotton,Maize,120,40,200,7.66,216,1653.74,180.0,1473.74
Chickpea,Cotton,60,14,60,1.53,1800,2762.93,67.0,2695.93
Chickpea,Maize,60,14,60,5.56,216,1201.45,67.0,1134.45
Cotton,Maize,120,40,200,5.23,216,1128.77,180.0,948.77
Potato,Soybean,150,60,200,2.45,450,1103.99,205.0,898.99
Cotton,Wheat,120,40,200,2.96,335,991.61,180.0,811.61
Tomato,Wheat,200,75,300,3.26,335,1093.62,287.5,806.12
Cotton,Soybean,120,40,200,3.1,450,1395.87,180.0,1215.87
Potato,Rice,150,60,200,5.11,350,1787.59,205.0,1582.59
Rice,Chickpea,100,40,120,1.66,550,914.64,130.0,784.64
Soybean,Rice,50,20,60,4.06,350,1422.25,65.0,1357.25
Potato,Chickpea,150,60,200,1.62,550,890.06,205.0,685.06
Potato,Tomato,150,60,200,32.18,400,12873.56,205.0,12668.56
Cotton,Potato,120,40,200,16.53,200,3306.51,180.0,3126.51
Potato,Rice,150,60,200,4.18,350,1463.89,205.0,1258.89
Chickpea,Wheat,60,14,60,3.74,335,1253.67,67.0,1186.67
Rice,Wheat,100,40,120,3.61,335,1208.85,130.0,1078.85
Tomato,Maize,200,75,300,5.83,216,1258.62,287.5,971.12
Wheat,Soybean,80,30,90,2.93,450,1317.82,100.0,1217.82
Maize,Potato,85,25,100,15.75,200,3149.91,105.0,3044.91
Potato,Tomato,150,60,200,27.16,400,10865.06,205.0,10660.06
Potato,Tomato,150,60,200,28.01,400,11205.3,205.0,11000.3
Maize,Tomato,85,25,100,22.5,400,8999.8,105.0,8894.8
Wheat,Potato,80,30,90,22.92,200,4583.72,100.0,4483.72
Maize,Soybean,85,25,100,2.29,450,1030.71,105.0,925.71
Chickpea,Rice,60,14,60,3.76,350,1317.43,67.0,1250.43
Soybean,Cotton,50,20,60,1.48,1800,2670.74,65.0,2605.74
Tomato,Potato,200,75,300,16.63,200,3326.15,287.5,3038.65
Cotton,Rice,120,40,200,5.96,350,2084.58,180.0,1904.58
Wheat,Soybean,80,30,90,2.22,450,1000.67,100.0,900.67
Tomato,Soybean,200,75,300,2.32,450,1045.22,287.5,757.72
Tomato,Cotton,200,75,300,1.95,1800,3512.96,287.5,3225.46
Wheat,Maize,80,30,90,5.13,216,1107.77,100.0,1007.77
Maize,Potato,85,25,100,15.83,200,3165.92,105.0,3060.92
Tomato,Cotton,200,75,300,2.46,1800,4426.35,287.5,4138.85
Wheat,Rice,80,30,90,5.11,350,1788.94,100.0,1688.94
Tomato,Potato,200,75,300,20.59,200,4117.44,287.5,3829.94
Soybean,Potato,50,20,60,21.22,200,4243.27,65.0,4178.27
Chickpea,Maize,60,14,60,6.78,216,1463.86,67.0,1396.86
Wheat,Maize,80,30,90,5.23,216,1129.31,100.0,1029.31
Maize,Chickpea,85,25,100,1.81,550,997.86,105.0,892.86
Soybean,Tomato,50,20,60,26.26,400,10505.37,65.0,10440.37
Wheat,Cotton,80,30,90,2.23,1800,4012.61,100.0,3912.61
Wheat,Cotton,80,30,90,2.4,1800,4318.07,100.0,4218.07
Tomato,Cotton,200,75,300,2.55,1800,4586.89,287.5,4299.39
Cotton,Rice,120,40,200,5.18,350,1813.48,180.0,1633.48
Maize,Tomato,85,25,100,33.35,400,13339.61,105.0,13234.61
Chickpea,Rice,60,14,60,4.55,350,1592.92,67.0,1525.92
Soybean,Potato,50,20,60,22.26,200,4452.21,65.0,4387.21
Maize,Potato,85,25,100,23.6,200,4719.8,105.0,4614.8
