Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Oilseeds total,2020,Autumn,Assam,437.04,821.33,2807.44,44063.05,92.29,1.88
Guar seed,2020,Autumn,Assam,2417.4,3649.75,2807.44,216389.12,1207.5,1.51
Other Summer Pulses,2020,Autumn,Assam,8668.34,6027.99,2807.44,1611472.84,3120.54,0.7
Moth,2020,Autumn,Assam,8840.53,12993.33,2807.44,1024244.65,2544.09,1.47
Arecanut,2020,Summer,Assam,5132.24,5041.3,2807.44,447211.53,2293.0,0.98
Arhar/Tur,2020,Summer,Assam,1187.5,2359.77,2807.44,221488.44,576.03,1.99
Castor seed,2020,Summer,Assam,7794.88,9865.99,2807.44,1385644.67,3810.35,1.27
Cotton(lint),2020,Summer,Assam,1236.07,1898.59,2807.44,129217.12,586.06,1.54
Dry chillies,2020,Summer,Assam,3634.5,3148.99,2807.44,630779.29,1411.99,0.87
Gram,2020,Summer,Assam,3617.52,2999.62,2807.44,370304.39,1465.63,0.83
Jute,2020,Summer,Assam,484.98,529.58,2807.44,55626.6,186.58,1.09
Linseed,2020,Summer,Assam,4068.62,9649.53,2807.44,792536.47,1181.76,2.37
Maize,2020,Summer,Assam,2897.69,13128.88,2807.44,299008.16,1201.59,4.53
Mesta,2020,Summer,Assam,9304.9,11956.63,2807.44,1675661.91,2807.72,1.28
Niger seed,2020,Summer,Assam,6280.61,9330.54,2807.44,1169926.93,2508.87,1.49
Onion,2020,Summer,Assam,3666.81,3773.05,2807.44,361289.03,1118.97,1.03
Other Rabi pulses,2020,Summer,Assam,7177.61,13604.17,2807.44,1352665.83,2884.26,1.9
Potato,2020,Summer,Assam,8594.68,305357.7,2807.44,1210830.2,2017.47,35.53
Rapeseed &Mustard,2020,Summer,Assam,8114.05,8960.44,2807.44,1296205.52,1632.54,1.1
Rice,2020,Summer,Assam,2496.81,9267.29,2807.44,226199.58,536.76,3.71
Sesamum,2020,Summer,Assam,1581.75,3761.41,2807.44,221210.02,554.76,2.38
Small millets,2020,Summer,Assam,1839.56,2607.11,2807.44,226043.99,521.21,1.42
Sugarcane,2020,Summer,Assam,3703.91,130871.4,2807.44,636624.57,948.31,35.33
Sweet potato,2020,Summer,Assam,5525.06,5939.75,2807.44,518173.17,1139.01,1.08
Tapioca,2020,Summer,Assam,7656.11,11107.7,2807.44,1028888.82,2728.32,1.45
Tobacco,2020,Summer,Assam,2524.74,4606.14,2807.44,344659.42,905.54,1.82
Turmeric,2020,Summer,Assam,5004.42,6394.78,2807.44,664967.58,1087.01,1.28
Wheat,2020,Summer,Assam,129.03,387.73,2807.44,14410.82,46.86,3.0
Bajra,2020,Summer,Assam,8223.53,15025.01,2807.44,823195.27,3111.84,1.83
Black pepper,2020,Summer,Assam,264.19,620.71,2807.44,26392.31,63.69,2.35
Cardamom,2020,Summer,Assam,3437.28,3593.09,2807.44,594429.17,1589.63,1.05
Coriander,2020,Summer,Assam,8271.82,19367.66,2807.44,1102831.63,3618.24,2.34
Garlic,2020,Summer,Assam,8266.64,9975.56,2807.44,1415644.05,3413.31,1.21
Ginger,2020,Summer,Assam,3874.91,7760.61,2807.44,575678.76,1343.11,2.0
Groundnut,2020,Summer,Assam,4678.71,4706.87,2807.44,742793.59,1666.66,1.01
Horse-gram,2020,Summer,Assam,8111.94,7455.28,2807.44,1583774.72,2920.93,0.92
Jowar,2020,Summer,Assam,858.77,672.56,2807.44,99402.82,304.15,0.78
Ragi,2020,Summer,Assam,860.71,1462.43,2807.44,159460.88,337.64,1.7
Cashewnut,2020,Summer,Assam,2756.48,4819.64,2807.44,231314.12,826.66,1.75
Banana,2020,Summer,Assam,2184.76,92573.04,2807.44,251974.42,740.5,42.37
Soyabean,2020,Summer,Assam,575.28,479.71,2807.44,112538.85,147.56,0.83
Barley,2020,Summer,Assam,2460.82,5278.74,2807.44,305953.9,731.67,2.15
Khesari,2020,Summer,Assam,3935.41,6481.36,2807.44,417264.72,1054.64,1.65
Masoor,2020,Summer,Assam,919.49,1345.07,2807.44,152075.78,243.53,1.46
Moong(Green Gram),2020,Summer,Assam,6704.76,8403.18,2807.44,913280.47,1958.85,1.25
Other Kharif pulses,2020,Summer,Assam,8145.66,11800.75,2807.44,1518131.64,1668.56,1.45
Safflower,2020,Summer,Assam,1220.16,2663.01,2807.44,118082.06,385.74,2.18
Sannhamp,2020,Summer,Assam,6163.13,13636.83,2807.44,733763.43,2901.96,2.21
Sunflower,2020,Summer,Assam,9405.78,18054.91,2807.44,1129654.15,3912.87,1.92
Urad,2020,Summer,Assam,8025.47,10334.12,2807.44,1021752.3,3459.41,1.29
Peas & beans (Pulses),2020,Summer,Assam,6888.82,12642.15,2807.44,1292183.19,1563.89,1.84
other oilseeds,2020,Summer,Assam,7021.74,4765.06,2807.44,1023877.96,2677.83,0.68
Other Cereals,2020,Summer,Assam,4068.09,4642.18,2807.44,720489.01,1002.64,1.14
Cowpea(Lobia),2020,Summer,Assam,7851.16,19925.68,2807.44,1514107.08,2864.42,2.54
Oilseeds total,2020,Summer,Assam,2878.75,2642.16,2807.44,316031.13,956.57,0.92
Guar seed,2020,Summer,Assam,7143.96,11210.41,2807.44,1253378.76,3455.78,1.57
Other Summer Pulses,2020,Summer,Assam,2333.37,4326.56,2807.44,244011.23,588.32,1.85
Moth,2020,Summer,Assam,7191.06,10269.46,2807.44,1312975.55,2941.5,1.43
Arecanut,2020,Winter,Assam,6569.38,5236.85,2807.44,1296918.36,1586.59,0.8
Arhar/Tur,2020,Winter,Assam,7172.8,17640.89,2807.44,1220337.55,1897.35,2.46
Castor seed,2020,Winter,Assam,6255.92,16381.99,2807.44,981988.2,2439.61,2.62
Cotton(lint),2020,Winter,Assam,897.95,966.19,2807.44,142452.92,281.95,1.08
Dry chillies,2020,Winter,Assam,5851.35,8577.36,2807.44,837363.29,1581.16,1.47
Gram,2020,Winter,Assam,9076.27,17153.62,2807.44,1047406.66,3923.83,1.89
Jute,2020,Winter,Assam,2502.84,2753.5,2807.44,434848.54,1130.19,1.1
Linseed,2020,Winter,Assam,3012.59,7566.27,2807.44,245616.41,1069.24,2.51
Maize,2020,Winter,Assam,3453.0,8470.09,2807.44,320380.53,950.35,2.45
Mesta,2020,Winter,Assam,4541.7,8912.0,2807.44,866194.8,1862.05,1.96
Niger seed,2020,Winter,Assam,4499.4,5558.65,2807.44,422439.32,1966.86,1.24
Onion,2020,Winter,Assam,4266.2,10076.02,2807.44,818787.77,1861.05,2.36
Other Rabi pulses,2020,Winter,Assam,5751.23,7847.74,2807.44,865622.43,2476.86,1.36
Potato,2020,Winter,Assam,8611.02,249417.85,2807.44,1318391.3,2026.85,28.96
Rapeseed &Mustard,2020,Winter,Assam,9443.21,7567.0,2807.44,1325067.31,4187.04,0.8
Rice,2020,Winter,Assam,6400.14,27196.68,2807.44,910882.53,2068.81,4.25
Sesamum,2020,Winter,Assam,1302.64,2078.98,2807.44,182137.41,452.16,1.6
Small millets,2020,Winter,Assam,9404.3,10312.52,2807.44,1553934.52,4368.25,1.1
Sugarcane,2020,Winter,Assam,283.12,9773.25,2807.44,40700.07,72.37,34.52
Sweet potato,2020,Winter,Assam,2021.76,3930.45,2807.44,218357.08,561.27,1.94
Tapioca,2020,Winter,Assam,3813.63,8118.86,2807.44,700946.32,1090.55,2.13
Tobacco,2020,Winter,Assam,2835.84,7517.9,2807.44,303759.08,1000.93,2.65
Turmeric,2020,Winter,Assam,5592.74,6869.06,2807.44,519375.27,2028.91,1.23
Wheat,2020,Winter,Assam,2447.82,10501.31,2807.44,255291.82,574.26,4.29
Bajra,2020,Winter,Assam,2842.85,3478.24,2807.44,260301.8,1023.92,1.22
Black pepper,2020,Winter,Assam,6262.57,7313.39,2807.44,694441.46,2328.41,1.17
Cardamom,2020,Winter,Assam,3200.83,6521.35,2807.44,306937.4,1099.38,2.04
Coriander,2020,Winter,Assam,1676.44,1826.03,2807.44,253951.19,813.14,1.09
Garlic,2020,Winter,Assam,4716.3,7904.91,2807.44,902126.68,1054.79,1.68
Ginger,2020,Winter,Assam,1280.55,2094.26,2807.44,205401.1,273.03,1.64
Groundnut,2020,Winter,Assam,3619.23,4393.66,2807.44,301090.71,790.98,1.21
Horse-gram,2020,Winter,Assam,4245.92,5934.06,2807.44,560450.53,1871.75,1.4
Jowar,2020,Winter,Assam,9438.57,9942.55,2807.44,1834259.1,3965.49,1.05
Ragi,2020,Winter,Assam,7486.51,6987.21,2807.44,806300.97,2686.73,0.93
Cashewnut,2020,Winter,Assam,8743.64,7022.15,2807.44,1483325.55,2947.83,0.8
Banana,2020,Winter,Assam,7787.01,380383.46,2807.44,695854.64,3086.74,48.85
Soyabean,2020,Winter,Assam,6023.69,13029.45,2807.44,834335.49,2557.0,2.16
Barley,2020,Winter,Assam,3038.79,6976.96,2807.44,574476.81,1042.95,2.3
Khesari,2020,Winter,Assam,3692.29,6870.13,2807.44,677404.01,1699.53,1.86
Masoor,2020,Winter,Assam,963.71,1144.31,2807.44,107154.43,436.08,1.19
Moong(Green Gram),2020,Winter,Assam,8348.46,7277.28,2807.44,1400046.37,4169.28,0.87
Other Kharif pulses,2020,Winter,Assam,4316.0,5938.1,2807.44,632630.94,1257.23,1.38
Safflower,2020,Winter,Assam,5710.37,7132.62,2807.44,1101118.24,1253.52,1.25
Sannhamp,2020,Winter,Assam,3446.28,6005.92,2807.44,481062.58,798.34,1.74
Sunflower,2020,Winter,Assam,4209.43,6287.27,2807.44,589484.52,932.8,1.49
Urad,2020,Winter,Assam,5622.42,9762.25,2807.44,509496.57,1863.84,1.74
Peas & beans (Pulses),2020,Winter,Assam,3598.51,4064.38,2807.44,652439.6,918.88,1.13
other oilseeds,2020,Winter,Assam,3263.66,5700.08,2807.44,624073.85,987.44,1.75
Other Cereals,2020,Winter,Assam,235.14,426.05,2807.44,30612.98,57.16,1.81
Cowpea(Lobia),2020,Winter,Assam,9976.66,8106.04,2807.44,1742973.17,4197.88,0.81
Oilseeds total,2020,Winter,Assam,8566.54,11352.9,2807.44,833501.49,2651.23,1.33
Guar seed,2020,Winter,Assam,4637.04,3815.99,2807.44,591254.85,2059.56,0.82
Other Summer Pulses,2020,Winter,Assam,9884.23,18258.9,2807.44,1322672.71,3409.8,1.85
Moth,2020,Winter,Assam,7362.41,6684.73,2807.44,667046.25,2489.53,0.91
Arecanut,2020,Whole Year,Karnataka,7460.43,11412.81,1815.41,1079629.82,2926.14,1.53
Arhar/Tur,2020,Whole Year,Karnataka,3596.3,4485.29,1815.41,592628.6,806.41,1.25
Castor seed,2020,Whole Year,Karnataka,7342.66,13243.7,1815.41,710430.58,3617.25,1.8
Cotton(lint),2020,Whole Year,Karnataka,5960.07,6653.94,1815.41,1009256.84,2615.36,1.12
Dry chillies,2020,Whole Year,Karnataka,9760.94,20740.53,1815.41,1704136.41,2091.81,2.12
Gram,2020,Whole Year,Karnataka,2939.65,4202.09,1815.41,408898.15,1257.63,1.43
Jute,2020,Whole Year,Karnataka,7085.65,20278.03,1815.41,782506.01,1741.44,2.86
Linseed,2020,Whole Year,Karnataka,9257.61,8763.38,1815.41,1613140.35,2063.67,0.95
Maize,2020,Whole Year,Karnataka,4235.65,12140.18,1815.41,526334.77,1026.67,2.87
Mesta,2020,Whole Year,Karnataka,2450.8,2345.05,1815.41,426445.44,1016.04,0.96
Niger seed,2020,Whole Year,Karnataka,9216.2,14281.03,1815.41,1623002.38,4162.45,1.55
Onion,2020,Whole Year,Karnataka,895.69,945.69,1815.41,175036.86,204.02,1.06
Other Rabi pulses,2020,Whole Year,Karnataka,5207.21,10663.4,1815.41,427872.84,2154.31,2.05
Potato,2020,Whole Year,Karnataka,901.43,29485.53,1815.41,101572.88,221.62,32.71
Rapeseed &Mustard,2020,Whole Year,Karnataka,8243.77,16236.64,1815.41,1048921.45,2813.24,1.97
Rice,2020,Whole Year,Karnataka,9441.46,34110.99,1815.41,1683135.63,4589.6,3.61
Sesamum,2020,Whole Year,Karnataka,8954.22,18621.22,1815.41,1620001.38,3278.31,2.08
Small millets,2020,Whole Year,Karnataka,8190.96,17775.18,1815.41,1208965.85,3468.78,2.17
Sugarcane,2020,Whole Year,Karnataka,5561.87,251877.95,1815.41,935806.86,2431.45,45.29
Sweet potato,2020,Whole Year,Karnataka,9509.98,11746.51,1815.41,1202318.87,3801.75,1.24
Tapioca,2020,Whole Year,Karnataka,4181.96,8519.7,1815.41,484544.16,1949.34,2.04
Tobacco,2020,Whole Year,Karnataka,6909.01,6356.43,1815.41,1205794.4,2988.47,0.92
Turmeric,2020,Whole Year,Karnataka,7620.64,8468.15,1815.41,750530.02,1984.34,1.11
Wheat,2020,Whole Year,Karnataka,3092.4,7829.13,1815.41,281900.46,1041.95,2.53
Bajra,2020,Whole Year,Karnataka,8628.64,12887.52,1815.41,1308235.79,2387.42,1.49
Black pepper,2020,Whole Year,Karnataka,719.3,1293.54,1815.41,121752.32,205.26,1.8
Cardamom,2020,Whole Year,Karnataka,3204.14,6067.97,1815.41,408406.7,1410.16,1.89
Coriander,2020,Whole Year,Karnataka,4956.83,6776.64,1815.41,702008.15,1192.87,1.37
Garlic,2020,Whole Year,Karnataka,2168.74,3142.04,1815.41,185709.73,920.92,1.45
Ginger,2020,Whole Year,Karnataka,8618.4,10909.24,1815.41,1308774.97,3137.16,1.27
Groundnut,2020,Whole Year,Karnataka,3802.59,7550.93,1815.41,758968.37,1599.54,1.99
Horse-gram,2020,Whole Year,Karnataka,7895.97,15497.49,1815.41,1023268.76,1946.0,1.96
Jowar,2020,Whole Year,Karnataka,7504.94,16700.98,1815.41,1245587.83,2558.86,2.23
Ragi,2020,Whole Year,Karnataka,6633.25,13436.69,1815.41,1100093.8,1430.05,2.03
Cashewnut,2020,Whole Year,Karnataka,8184.54,20277.06,1815.41,911349.18,2893.25,2.48
Banana,2020,Whole Year,Karnataka,6335.67,380175.09,1815.41,705535.52,2143.28,60.01
Soyabean,2020,Whole Year,Karnataka,2279.95,3961.62,1815.41,360193.44,864.16,1.74
Barley,2020,Whole Year,Karnataka,5363.4,9315.41,1815.41,888608.76,1776.07,1.74
Khesari,2020,Whole Year,Karnataka,1111.2,2504.06,1815.41,106341.55,544.47,2.25
Masoor,2020,Whole Year,Karnataka,9233.27,12522.73,1815.41,775492.69,3742.06,1.36
Moong(Green Gram),2020,Whole Year,Karnataka,4673.22,5519.54,1815.41,472889.34,1922.52,1.18
Other Kharif pulses,2020,Whole Year,Karnataka,8600.94,19181.32,1815.41,1673255.02,3944.44,2.23
Safflower,2020,Whole Year,Karnataka,1747.46,1277.43,1815.41,175390.7,694.6,0.73
Sannhamp,2020,Whole Year,Karnataka,148.31,273.92,1815.41,12788.16,56.27,1.85
Sunflower,2020,Whole Year,Karnataka,2751.8,4386.34,1815.41,527148.62,1297.89,1.59
Urad,2020,Whole Year,Karnataka,3474.54,5625.24,1815.41,481358.37,1200.67,1.62
Peas & beans (Pulses),2020,Whole Year,Karnataka,949.97,1225.03,1815.41,91425.1,380.95,1.29
other oilseeds,2020,Whole Year,Karnataka,8775.09,13718.79,1815.41,1262813.45,2963.26,1.56
Other Cereals,2020,Whole Year,Karnataka,7551.04,7253.01,1815.41,1087925.82,3579.32,0.96
Cowpea(Lobia),2020,Whole Year,Karnataka,2999.78,5109.73,1815.41,460356.06,724.35,1.7
Oilseeds total,2020,Whole Year,Karnataka,4280.34,8347.99,1815.41,560631.44,1488.06,1.95
Guar seed,2020,Whole Year,Karnataka,9176.88,17000.89,1815.41,1158585.26,3333.62,1.85
Other Summer Pulses,2020,Whole Year,Karnataka,278.92,247.6,1815.41,28815.69,83.32,0.89
Moth,2020,Whole Year,Karnataka,8030.0,10044.73,1815.41,1024347.02,3377.19,1.25
Cotton(lint),2020,Kharif,Karnataka,8409.46,12115.35,1815.41,1101000.64,2611.56,1.44
Maize,2020,Kharif,Karnataka,9763.06,50210.6,1815.41,933904.78,3077.83,5.14
Rice,2020,Kharif,Karnataka,7116.45,45828.8,1815.41,692372.99,3018.2,6.44
Groundnut,2020,Kharif,Karnataka,8860.57,15414.35,1815.41,1319999.79,3384.83,1.74
Soyabean,2020,Kharif,Karnataka,184.65,389.82,1815.41,21545.15,88.15,2.11
Gram,2020,Rabi,Karnataka,8169.39,12221.38,1815.41,1539824.8,1857.04,1.5
Potato,2020,Rabi,Karnataka,7897.2,395181.41,1815.41,1419896.96,3165.49,50.04
Rapeseed &Mustard,2020,Rabi,Karnataka,3646.11,5690.14,1815.41,482882.69,831.27,1.56
Wheat,2020,Rabi,Karnataka,7528.38,27777.19,1815.41,634231.38,2739.67,3.69
Arecanut,2020,Autumn,Karnataka,4211.51,7956.81,1815.41,758487.51,1481.91,1.89
Arhar/Tur,2020,Autumn,Karnataka,8096.08,6080.67,1815.41,1136860.54,2255.1,0.75
Castor seed,2020,Autumn,Karnataka,9638.24,17157.83,1815.41,1136190.36,3505.3,1.78
